,,,年平均気温,最高気温（日最高気温の月平均の最高値）
2016,R11000,埼玉県,15.9,32.3
2015,R11000,埼玉県,16,31.6
2014,R11000,埼玉県,15.3,31.7
2013,R11000,埼玉県,15.6,33.9
2012,R11000,埼玉県,15.1,35.2
2011,R11000,埼玉県,15.4,33
2010,R11000,埼玉県,15.8,34.8
2009,R11000,埼玉県,15.5,30.8
2008,R11000,埼玉県,15.4,32.2
2019,R12000,千葉県,16.8,32
2018,R12000,千葉県,17.2,32.2
2017,R12000,千葉県,16.3,31.4
2016,R12000,千葉県,16.8,31.2
2015,R12000,千葉県,16.7,30.6
2014,R12000,千葉県,16.3,30.8
2013,R12000,千葉県,16.6,32.8
2012,R12000,千葉県,15.9,32.3
2011,R12000,千葉県,16.3,31.1
2010,R12000,千葉県,16.6,32.8
2009,R12000,千葉県,16.3,29.7
2008,R12000,千葉県,16.1,31
2019,R13000,東京都,16.5,32.8
2018,R13000,東京都,16.8,32.7
2017,R13000,東京都,15.8,31.8
2016,R13000,東京都,16.4,31.6
2015,R13000,東京都,16.4,30.5
2014,R13000,東京都,16.6,31.2
2013,R13000,東京都,17.1,33.2
2012,R13000,東京都,16.3,33.1
2011,R13000,東京都,16.5,31.2
2010,R13000,東京都,16.9,33.5
2009,R13000,東京都,16.7,30.1
2008,R13000,東京都,16.4,30.9
2019,R14000,神奈川県,16.9,32.7
2018,R14000,神奈川県,17.1,32.2
2017,R14000,神奈川県,16.3,31.2
2016,R14000,神奈川県,16.9,31.3
2015,R14000,神奈川県,16.7,30.2
2014,R14000,神奈川県,16.2,30.5
2013,R14000,神奈川県,16.6,32.7
2012,R14000,神奈川県,15.8,32.4
2011,R14000,神奈川県,16.3,31.4
2010,R14000,神奈川県,16.5,32.7
2009,R14000,神奈川県,16.3,29.9
2008,R14000,神奈川県,16.1,30.6
2019,R15000,新潟県,14.6,31.7
2018,R15000,新潟県,14.3,31.7
2017,R15000,新潟県,13.7,29.8
2016,R15000,新潟県,14.5,31.1
2015,R15000,新潟県,14.4,29.5
2014,R15000,新潟県,13.7,29.6
2013,R15000,新潟県,13.8,30.7
2012,R15000,新潟県,13.8,31.9
2011,R15000,新潟県,13.9,30.7
2010,R15000,新潟県,14.4,33
2009,R15000,新潟県,14.1,28.2
2008,R15000,新潟県,14.2,29.3
2019,R16000,富山県,15.2,32.1
2018,R16000,富山県,15,32.8
2017,R16000,富山県,14.3,31.3
2016,R16000,富山県,15.2,31.3
2015,R16000,富山県,14.8,30.6
2014,R16000,富山県,14.3,30.3
2013,R16000,富山県,14.5,32.9
2012,R16000,富山県,14.2,33
2011,R16000,富山県,14.3,31.1
2010,R16000,富山県,14.9,34.3
2009,R16000,富山県,14.6,28.8
2008,R16000,富山県,14.6,31.6
2019,R17000,石川県,15.8,32.1
2018,R17000,石川県,15.5,32.9
2017,R17000,石川県,15,31.2
2016,R17000,石川県,15.7,31.8
2015,R17000,石川県,15.3,30.9
2014,R17000,石川県,14.8,30.4
2013,R17000,石川県,15,32
2012,R17000,石川県,14.8,33.1
2011,R17000,石川県,14.8,31.3
2010,R17000,石川県,15.1,33.2
2009,R17000,石川県,14.8,29.4
2008,R17000,石川県,14.9,30.9
2019,R18000,福井県,15.6,33
2018,R18000,福井県,15.3,33.7
2017,R18000,福井県,14.6,32
2016,R18000,福井県,15.6,32.3
2015,R18000,福井県,15.2,31.8
2014,R18000,福井県,14.6,30.7
2013,R18000,福井県,14.9,33.1
2012,R18000,福井県,14.6,34.2
2011,R18000,福井県,14.6,32.7
2010,R18000,福井県,15,34.6
2009,R18000,福井県,14.7,30.1
2008,R18000,福井県,14.7,32
2019,R19000,山梨県,15.9,33.8
2018,R19000,山梨県,16,34.5
2017,R19000,山梨県,14.9,33.3
2016,R19000,山梨県,15.7,33.4
2015,R19000,山梨県,15.6,32.6
2014,R19000,山梨県,14.7,32.4
2013,R19000,山梨県,15.4,35.3
2012,R19000,山梨県,14.8,34.6
2011,R19000,山梨県,15,32.7
2010,R19000,山梨県,15.2,34.2
2009,R19000,山梨県,15.1,31.9
2008,R19000,山梨県,14.8,32.5
2019,R20000,長野県,12.9,32.1
2018,R20000,長野県,13,32.8
2017,R20000,長野県,11.9,30.2
2016,R20000,長野県,13.1,31.9
2015,R20000,長野県,12.8,30.2
2014,R20000,長野県,11.9,30.3
2013,R20000,長野県,12.3,31.2
2012,R20000,長野県,12.1,33
2011,R20000,長野県,12,31.2
2010,R20000,長野県,12.6,33.1
2009,R20000,長野県,12.4,29.8
2008,R20000,長野県,12.2,31
2019,R21000,岐阜県,17,34.2
2018,R21000,岐阜県,16.9,35.1
2017,R21000,岐阜県,15.9,32.9
2016,R21000,岐阜県,16.9,34.3
2015,R21000,岐阜県,16.5,33.2
2014,R21000,岐阜県,16.1,32.2
2013,R21000,岐阜県,16.3,34.6
2012,R21000,岐阜県,15.7,33.7
2011,R21000,岐阜県,15.9,33.2
2010,R21000,岐阜県,16.4,34.1
2009,R21000,岐阜県,16.3,32
2008,R21000,岐阜県,16.2,33.2
2019,R22000,静岡県,17.8,32.4
2018,R22000,静岡県,17.7,32.7
2017,R22000,静岡県,16.8,31.5
2016,R22000,静岡県,17.6,32.3
2015,R22000,静岡県,17.2,31.1
2014,R22000,静岡県,16.6,30.9
2013,R22000,静岡県,17.2,32.3
2012,R22000,静岡県,16.6,31.6
2011,R22000,静岡県,16.9,31.6
2010,R22000,静岡県,17.2,32.1
2009,R22000,静岡県,17,30.8
2008,R22000,静岡県,16.7,31.1
2019,R23000,愛知県,17,33.9
2018,R23000,愛知県,16.9,35.3
2017,R23000,愛知県,15.9,32.7
2016,R23000,愛知県,17,33.8
2015,R23000,愛知県,16.6,32.9
2014,R23000,愛知県,16.1,32.3
2013,R23000,愛知県,16.4,34.5
2012,R23000,愛知県,15.8,33.4
2011,R23000,愛知県,16.1,32.7
2010,R23000,愛知県,16.6,34.1
2009,R23000,愛知県,16.5,31.9
2008,R23000,愛知県,16.4,33.6
2019,R24000,三重県,16.9,32.1
2018,R24000,三重県,16.9,33.2
2017,R24000,三重県,16.1,31.8
2016,R24000,三重県,16.9,32.2
2015,R24000,三重県,16.6,31.3
2014,R24000,三重県,16.1,30.9
2013,R24000,三重県,16.5,33.4
2012,R24000,三重県,15.9,31.8
2011,R24000,三重県,16.1,31.3
2010,R24000,三重県,16.6,32.7
2009,R24000,三重県,16.3,30.1
2008,R24000,三重県,16.3,31.8
2019,R25000,滋賀県,15.8,32.8
2018,R25000,滋賀県,15.7,33.6
2017,R25000,滋賀県,14.8,31.8
2016,R25000,滋賀県,15.8,32.9
2015,R25000,滋賀県,15.5,31.7
2014,R25000,滋賀県,14.9,31
2013,R25000,滋賀県,15.1,33
2012,R25000,滋賀県,14.8,33.4
2011,R25000,滋賀県,15,32.8
2010,R25000,滋賀県,15.3,33.9
2009,R25000,滋賀県,15,30.3
2008,R25000,滋賀県,15,32
2019,R26000,京都府,16.9,34.3
2018,R26000,京都府,16.9,35
2017,R26000,京都府,16,33.6
2016,R26000,京都府,17.1,34.7
2015,R26000,京都府,16.6,33.6
2014,R26000,京都府,16.1,32.6
2013,R26000,京都府,16.2,35.1
2012,R26000,京都府,15.8,34.5
2011,R26000,京都府,16,33.6
2010,R26000,京都府,16.4,35.2
2009,R26000,京都府,16.1,32.1
2008,R26000,京都府,16,34
2019,R27000,大阪府,17.6,33.7
2018,R27000,大阪府,17.4,34.6
2017,R27000,大阪府,16.8,33.8
2016,R27000,大阪府,17.7,35
2015,R27000,大阪府,17.2,33.2
2014,R27000,大阪府,16.7,32.1
2013,R27000,大阪府,17.1,34.8
2012,R27000,大阪府,16.6,34.3
2011,R27000,大阪府,16.9,33.4
2010,R27000,大阪府,17.3,35.2
2009,R27000,大阪府,17.1,32.5
2008,R27000,大阪府,17,33.3
2019,R28000,兵庫県,17.7,32.3
2018,R28000,兵庫県,17.4,32.7
2017,R28000,兵庫県,16.8,32.6
2016,R28000,兵庫県,17.8,33.7
2015,R28000,兵庫県,17.3,31.7
2014,R28000,兵庫県,16.7,30.6
2013,R28000,兵庫県,17,33.1
2012,R28000,兵庫県,16.6,33.2
2011,R28000,兵庫県,16.8,32.5
2010,R28000,兵庫県,17.2,33.5
2009,R28000,兵庫県,17.1,31.4
2008,R28000,兵庫県,17,31.7
2019,R29000,奈良県,16.3,33.5
2018,R29000,奈良県,16.2,34.4
2017,R29000,奈良県,15.4,33.2
2016,R29000,奈良県,16,34.3
2015,R29000,奈良県,15.5,32.6
2014,R29000,奈良県,14.9,31.8
2013,R29000,奈良県,15.3,33.9
2012,R29000,奈良県,14.7,33.9
2011,R29000,奈良県,15,32.8
2010,R29000,奈良県,15.4,34.7
2009,R29000,奈良県,15.1,31.6
2008,R29000,奈良県,14.9,32.8
2019,R30000,和歌山県,17.4,32.2
2018,R30000,和歌山県,17.3,33.2
2017,R30000,和歌山県,16.8,33.6
2016,R30000,和歌山県,17.7,33.9
2015,R30000,和歌山県,17.2,32.2
2014,R30000,和歌山県,16.7,31.2
2013,R30000,和歌山県,17,33.5
2012,R30000,和歌山県,16.4,33.2
2011,R30000,和歌山県,16.6,32.6
2010,R30000,和歌山県,17.1,33.5
2009,R30000,和歌山県,16.9,31.6
2008,R30000,和歌山県,16.7,32.2
2019,R31000,鳥取県,16,33.6
2018,R31000,鳥取県,15.7,34.4
2017,R31000,鳥取県,15.2,32.8
2016,R31000,鳥取県,16,33
2015,R31000,鳥取県,15.4,31.4
2014,R31000,鳥取県,14.9,31.2
2013,R31000,鳥取県,15.5,33.6
2012,R31000,鳥取県,14.9,34.9
2011,R31000,鳥取県,15,33.1
2010,R31000,鳥取県,15.6,35.5
2009,R31000,鳥取県,15,30.1
2008,R31000,鳥取県,15,32.8
2019,R32000,島根県,15.9,31.7
2018,R32000,島根県,15.6,33.7
2017,R32000,島根県,15.3,31.5
2016,R32000,島根県,15.9,32.2
2015,R32000,島根県,15.4,30.4
2014,R32000,島根県,14.9,30.2
2013,R32000,島根県,15.4,32.4
2012,R32000,島根県,15.1,33.9
2011,R32000,島根県,15,31.6
2010,R32000,島根県,15.5,34.4
2009,R32000,島根県,15,29.1
2008,R32000,島根県,15.1,32.1
2019,R33000,岡山県,16.5,32.8
2018,R33000,岡山県,16.3,34.7
2017,R33000,岡山県,15.7,33.7
2016,R33000,岡山県,16.6,34.3
2015,R33000,岡山県,16.2,32.3
2014,R33000,岡山県,16.1,31.8
2013,R33000,岡山県,16.4,34.1
2012,R33000,岡山県,16.1,33.7
2011,R33000,岡山県,16.3,32.8
2010,R33000,岡山県,16.7,34.9
2009,R33000,岡山県,16.6,31.9
2008,R33000,岡山県,16.6,34.1
2019,R34000,広島県,17.2,32.1
2018,R34000,広島県,16.8,34.7
2017,R34000,広島県,16.3,33.3
2016,R34000,広島県,17.2,34.3
2015,R34000,広島県,16.6,31.6
2014,R34000,広島県,16.2,30.8
2013,R34000,広島県,16.6,33.6
2012,R34000,広島県,16.2,33.6
2011,R34000,広島県,16.2,32.3
2010,R34000,広島県,16.6,35.1
2009,R34000,広島県,16.4,31.9
2008,R34000,広島県,16.4,32.8
2019,R35000,山口県,16.3,32.2
2018,R35000,山口県,16,35.2
2017,R35000,山口県,15.6,33.9
2016,R35000,山口県,16.5,34.2
2015,R35000,山口県,15.9,32
2014,R35000,山口県,15.3,30.9
2013,R35000,山口県,15.8,33.9
2012,R35000,山口県,15.4,32.9
2011,R35000,山口県,15.6,32.4
2010,R35000,山口県,16,33.9
2009,R35000,山口県,15.8,32
2008,R35000,山口県,15.8,33.1
2019,R36000,徳島県,17.4,32
2018,R36000,徳島県,17.1,33.1
2017,R36000,徳島県,16.7,32.7
2016,R36000,徳島県,17.6,33.9
2015,R36000,徳島県,17,31.7
2014,R36000,徳島県,16.4,30.8
2013,R36000,徳島県,16.8,33.7
2012,R36000,徳島県,16.4,32.6
2011,R36000,徳島県,16.7,32.2
2010,R36000,徳島県,17,33.8
2009,R36000,徳島県,16.9,31.3
2008,R36000,徳島県,16.8,32
2019,R37000,香川県,17.3,32.4
2018,R37000,香川県,17,34.4
2017,R37000,香川県,16.6,33.9
2016,R37000,香川県,17.5,34.5
2015,R37000,香川県,16.9,32.6
2014,R37000,香川県,16.4,31.9
2013,R37000,香川県,16.8,34.8
2012,R37000,香川県,16.3,34.1
2011,R37000,香川県,16.6,32.7
2010,R37000,香川県,17,34.7
2009,R37000,香川県,16.9,31.7
2008,R37000,香川県,16.8,33.8
2019,R38000,愛媛県,17.4,32
2018,R38000,愛媛県,17.1,34.4
2017,R38000,愛媛県,16.7,33.2
2016,R38000,愛媛県,17.6,34
2015,R38000,愛媛県,16.8,31.4
2014,R38000,愛媛県,16.4,31.2
2013,R38000,愛媛県,16.8,33.5
2012,R38000,愛媛県,16.3,33.8
2011,R38000,愛媛県,16.5,32.3
2010,R38000,愛媛県,16.9,34.7
2009,R38000,愛媛県,16.9,32
2008,R38000,愛媛県,16.7,33.1
2019,R39000,高知県,17.8,31.4
2018,R39000,高知県,17.4,32.8
2017,R39000,高知県,17.1,33.4
2016,R39000,高知県,18.1,33.7
2015,R39000,高知県,17.5,31.8
2014,R39000,高知県,17,31
2013,R39000,高知県,17.3,33.4
2012,R39000,高知県,16.8,31.8
2011,R39000,高知県,17.2,32.3
2010,R39000,高知県,17.6,33.2
2009,R39000,高知県,17.5,32.1
2008,R39000,高知県,17.3,32.4
2019,R40000,福岡県,17.9,31.9
2018,R40000,福岡県,17.7,34.5
2017,R40000,福岡県,17.6,33.8
2016,R40000,福岡県,18.1,34.3
2015,R40000,福岡県,17.3,31.4
2014,R40000,福岡県,17.1,30.9
2013,R40000,福岡県,17.7,34.5
2012,R40000,福岡県,17,33.6
2011,R40000,福岡県,17.1,33.1
2010,R40000,福岡県,17.5,35.2
2009,R40000,福岡県,17.3,31.6
2008,R40000,福岡県,17.1,33.3
2019,R41000,佐賀県,17.7,31.9
2018,R41000,佐賀県,17.4,35.3
2017,R41000,佐賀県,17,33.5
2016,R41000,佐賀県,17.9,35
2015,R41000,佐賀県,17.1,32.1
2014,R41000,佐賀県,16.7,30.9
2013,R41000,佐賀県,17.1,34
2012,R41000,佐賀県,16.5,33.9
2011,R41000,佐賀県,16.6,32.8
2010,R41000,佐賀県,17,34.7
2009,R41000,佐賀県,16.9,33.1
2008,R41000,佐賀県,16.8,33.7
2019,R42000,長崎県,17.9,31.1
2018,R42000,長崎県,17.7,33.6
2017,R42000,長崎県,17.3,32.6
2016,R42000,長崎県,18.1,33.7
2015,R42000,長崎県,17.3,30.4
2014,R42000,長崎県,17,29.8
2013,R42000,長崎県,17.5,33.5
2012,R42000,長崎県,16.9,32.9
2011,R42000,長崎県,17,31.6
2010,R42000,長崎県,17.5,32.8
2009,R42000,長崎県,17.4,32.1
2008,R42000,長崎県,17.3,32
2019,R43000,熊本県,17.7,32
2018,R43000,熊本県,17.5,35.6
2017,R43000,熊本県,16.9,33.5
2016,R43000,熊本県,18,35.1
2015,R43000,熊本県,17.2,31.9
2014,R43000,熊本県,16.8,31
2013,R43000,熊本県,17.2,33.9
2012,R43000,熊本県,16.7,33.7
2011,R43000,熊本県,16.9,32.8
2010,R43000,熊本県,17.4,34.8
2009,R43000,熊本県,17.5,33.8
2008,R43000,熊本県,17.2,34
2019,R44000,大分県,17.4,31.1
2018,R44000,大分県,17.1,33.9
2017,R44000,大分県,16.8,32.9
2016,R44000,大分県,17.6,33.9
2015,R44000,大分県,16.8,31.3
2014,R44000,大分県,16.3,30.3
2013,R44000,大分県,16.9,34.2
2012,R44000,大分県,16.3,32
2011,R44000,大分県,16.6,32
2010,R44000,大分県,17,34.6
2009,R44000,大分県,17,31.6
2008,R44000,大分県,16.8,33.3
2019,R45000,宮崎県,18.4,30.9
2018,R45000,宮崎県,17.8,31.6
2017,R45000,宮崎県,17.6,33
2016,R45000,宮崎県,18.6,32.7
2015,R45000,宮崎県,17.7,31.1
2014,R45000,宮崎県,17.4,31.5
2013,R45000,宮崎県,17.9,34.1
2012,R45000,宮崎県,17.2,31.2
2011,R45000,宮崎県,17.3,31.2
2010,R45000,宮崎県,17.7,32.1
2009,R45000,宮崎県,17.8,31.4
2008,R45000,宮崎県,17.4,32.1
2019,R46000,鹿児島県,19.4,32.1
2018,R46000,鹿児島県,19,33.6
2017,R46000,鹿児島県,18.6,33.8
2016,R46000,鹿児島県,19.6,34.4
2015,R46000,鹿児島県,18.8,31.8
2014,R46000,鹿児島県,18.5,31.3
2013,R46000,鹿児島県,18.9,34.7
2012,R46000,鹿児島県,18.2,32.2
2011,R46000,鹿児島県,18.4,32.7
2010,R46000,鹿児島県,18.9,33.4
2009,R46000,鹿児島県,19,33.3
2008,R46000,鹿児島県,18.7,33.4
2019,R47000,沖縄県,23.9,31.8
2018,R47000,沖縄県,23.5,31.2
2017,R47000,沖縄県,23.6,33.6
2016,R47000,沖縄県,24.1,32.6
2015,R47000,沖縄県,23.6,31.6
2014,R47000,沖縄県,23.1,32.1
2013,R47000,沖縄県,23.3,32.9
2012,R47000,沖縄県,23,31.8
2011,R47000,沖縄県,22.9,31.8
2010,R47000,沖縄県,23.1,31.6
2009,R47000,沖縄県,23.4,32.7
2008,R47000,沖縄県,23.4,32.3
